""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"
"X47c"	0.554910518085709	-0.210456937694143	-0.121300992933032	0.102870819951623	-0.0557135440480599	-0.0374848982617832
"X48a"	0.601105490912293	-0.0757802245159914	-0.093564629127523	0.139469228895493	0.155383366959823	0.0160049955261528
"X48b"	0.565539705872763	-0.109662474395558	-0.111730535094288	-0.0101018152990917	0.000633911962693287	0.0903276103484009
"X48d"	0.460773684177401	-0.162530856356619	0.0340824505987751	-0.000704525372096552	0.0320990531585315	0.0613936361192895
"X48e"	0.464633927894383	-0.212451175408874	-0.00178010595707157	-0.0132794891571111	0.138129550294244	0.0154468542687786
"X48f"	0.38967551181754	-0.227778687813329	-0.00462750726439946	-0.0279977237118174	0.169157425586033	-0.0877248177297452
"X52a"	0.588715232981154	-0.0454227307393919	-0.0799545266622073	0.0805169843628153	0.0448139858310719	0.042228643027434
"X52b"	0.57579574167532	-0.153808305103747	-0.15849223382846	0.0589786751108804	-0.0345744894402537	0.00739252162122042
"X52c"	0.588544865746767	-0.0851447565952385	-0.117443244897036	0.0563782387549202	0.0167202129522612	0.043101440438519
"X53a"	0.49477337429843	-0.159853874558871	-0.0233212736841159	0.133525352624387	0.109659003372261	-0.0285564970612183
"X53b"	0.576790146197137	-0.106843381284315	-0.0778093966125967	0.0582489571505192	-0.0501063093706292	0.10553450423864
"X53c"	0.446999354767445	-0.156625646736862	0.0248428008942016	0.0220891321301767	-0.2852274361349	0.0492215972297843
"X53d"	0.509291551614709	-0.185770223649344	-0.123554290961644	0.0440462842793819	0.0157609410626418	-0.0145752904144359
"X53e"	0.576062400227317	-0.130122514088672	-0.0398525211153538	0.0478067019147376	0.0284958382764747	-0.0250421495207932
"X55a"	0.401564306380409	0.392259315172899	0.10099488403822	0.19144806751899	-0.0519915195365126	-0.0112021444111493
"X55b"	0.377556699338649	0.365470214848178	0.133484544498215	0.207348251084341	-0.0587521954461221	-0.0452412583713806
"X55c"	0.367329792699012	0.40262172980957	0.147701119758451	0.164186634316315	-0.0342107970153318	-0.079080070687693
"X57a"	0.416842090209251	0.391753102371017	0.0707290436420024	0.13988951379422	-0.0984639958087126	-0.0375874933455144
"X57b"	0.372638270134281	0.404461861908261	0.119024496266346	0.156051764780948	-0.00748229793320781	-0.0587388245136992
